'id';'code';'name';'parent_id/id'
'material.product_category_material_1_7_6_000';'000';'IT150DATC半固化片';'material.product_category_material_1_7_6'
'material.product_category_material_1_7_7';'07';'IT158';'material.product_category_material_1_7'
'material.product_category_material_1_7_7_000';'000';'IT158/IT158BS半固化片';'material.product_category_material_1_7_7'
'material.product_category_material_1_7_8';'08';'IT180A';'material.product_category_material_1_7'
'material.product_category_material_1_7_8_000';'000';'IT180A/IT180BS半固化片';'material.product_category_material_1_7_8'
'material.product_category_material_1_7_9';'09';'S1000HB';'material.product_category_material_1_7'
'material.product_category_material_1_7_9_000';'000';'S1000HB半固化片';'material.product_category_material_1_7_9'
'material.product_category_material_1_8';'08';'软板类';'material.product_category_material_1'
'material.product_category_material_1_8_1';'01';'不流胶半固化片';'material.product_category_material_1_8'
'material.product_category_material_1_8_1_000';'000';'不流胶半固化片(SF302C 0520)';'material.product_category_material_1_8_1'
'material.product_category_material_1_8_2';'02';'纯胶PP';'material.product_category_material_1_8'
'material.product_category_material_1_8_2_000';'000';'纯胶PP';'material.product_category_material_1_8_2'
'material.product_category_material_1_8_3';'03';'覆盖膜';'material.product_category_material_1_8'
'material.product_category_material_1_8_3_000';'000';'覆盖膜';'material.product_category_material_1_8_3'
'material.product_category_material_1_8_4';'04';'聚酰亚胺';'material.product_category_material_1_8'
'material.product_category_material_1_8_4_000';'000';'聚酰亚胺';'material.product_category_material_1_8_4'
'material.product_category_material_1_8_5';'05';'杜邦的板料';'material.product_category_material_1_8'
'material.product_category_material_1_8_5_020';'020';'杜邦的板料';'material.product_category_material_1_8_5'
'material.product_category_material_1_8_6';'06';'联茂软板';'material.product_category_material_1_8'
'material.product_category_material_1_8_6_010';'010';'联茂软板';'material.product_category_material_1_8_6'
'material.product_category_material_2';'02';'生产辅料';'material.product_category_material'
'material.product_category_material_2_1';'01';'图形物料';'material.product_category_material_2'
'material.product_category_material_2_1_1';'01';'图形重氮片';'material.product_category_material_2_1'
'material.product_category_material_2_1_1_000';'000';'图形重氮片';'material.product_category_material_2_1_1'
'material.product_category_material_2_1_2';'02';'图形干膜';'material.product_category_material_2_1'
'material.product_category_material_2_1_2_000';'000';'图形干膜';'material.product_category_material_2_1_2'
'material.product_category_material_2_1_2_001';'001';'图形干膜';'material.product_category_material_2_1_2'
'material.product_category_material_2_1_3';'03';'图形辅助类';'material.product_category_material_2_1'
